GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US00927,00927,ZCTA5 00927,13503,11280,789,32,194,0,869,339,143,196
8600000US00934,00934,ZCTA5 00934,25,11,14,0,0,0,0,0,0,0
8600000US00936,00936,ZCTA5 00936,749,687,24,0,0,0,29,9,9,0
8600000US00949,00949,ZCTA5 00949,76058,45672,6849,74,19,7,7942,15495,422,15073
8600000US00950,00950,ZCTA5 00950,0,0,0,0,0,0,0,0,0,0
8600000US00951,00951,ZCTA5 00951,0,0,0,0,0,0,0,0,0,0
8600000US00952,00952,ZCTA5 00952,8467,4476,1189,0,0,0,515,2287,45,2242
8600000US00953,00953,ZCTA5 00953,72608,56075,5212,333,296,6,4291,6395,262,6133
8600000US00956,00956,ZCTA5 00956,68452,47500,5288,278,99,0,6762,8525,376,8149
8600000US00957,00957,ZCTA5 00957,40738,26552,2041,150,44,12,2351,9588,201,9387
8600000US00959,00959,ZCTA5 00959,47849,31550,3783,251,100,0,1956,10209,422,9787
8600000US00960,00960,ZCTA5 00960,2454,1115,278,0,4,0,407,650,19,631
8600000US00961,00961,ZCTA5 00961,31017,18189,2445,180,100,0,1100,9003,106,8897
8600000US00962,00962,ZCTA5 00962,19864,12456,2132,16,58,0,3839,1363,112,1251
8600000US00965,00965,ZCTA5 00965,7659,4378,606,67,16,0,1788,804,78,726
8600000US00966,00966,ZCTA5 00966,16169,13374,575,67,0,0,1207,946,94,852
8600000US00968,00968,ZCTA5 00968,3368,3052,65,0,39,0,159,53,11,42
8600000US00969,00969,ZCTA5 00969,43216,35875,1969,47,9,0,2867,2449,161,2288
8600000US00971,00971,ZCTA5 00971,27449,19418,2146,103,0,0,3917,1865,74,1791
8600000US00976,00976,ZCTA5 00976,60134,48342,5812,85,0,11,3987,1897,270,1627
8600000US00979,00979,ZCTA5 00979,15203,10711,2390,210,374,0,936,582,115,467
8600000US00982,00982,ZCTA5 00982,14514,7715,3662,423,18,0,1378,1318,289,1029
8600000US00983,00983,ZCTA5 00983,36687,18324,9617,1137,111,17,4106,3375,372,3003
8600000US00985,00985,ZCTA5 00985,32750,16914,8801,753,68,0,3179,3035,301,2734
8600000US00987,00987,ZCTA5 00987,58583,32085,13499,1538,20,0,4916,6525,499,6026
8600000US01001,01001,ZCTA5 01001,17537,16264,218,7,542,34,152,320,36,284
8600000US01002,01002,ZCTA5 01002,30280,23472,1692,186,3523,31,241,1135,129,1006
8600000US01003,01003,ZCTA5 01003,11131,8264,736,54,1635,0,139,303,30,273
