zipcode_5,CAND_PARTY,donations_sum,donations_median,donations_count
60089,UNK,1500.0,1500.0,1
60090,DEM,19216.0,18.5,168
60090,REP,3232.0,50.0,37
60091,DEM,807411.0,50.0,3066
60091,OTH,500.0,500.0,1
60091,REP,555243.0,250.0,596
60091,UNK,5700.0,1000.0,4
60093,DEM,1184512.0,100.0,2148
60093,IND,1500.0,250.0,3
60093,OTH,250.0,250.0,1
60093,REP,1744122.0,500.0,1465
60093,UNK,3250.0,250.0,5
60096,DEM,2387.0,50.0,20
60096,REP,3355.0,100.0,40
60097,DEM,5052.0,15.0,56
60097,REP,800.0,125.0,4
60098,DEM,37360.0,25.0,390
60098,IND,300.0,300.0,1
60098,REP,14728.0,50.0,87
60099,DEM,9515.0,25.0,109
60099,REP,8243.0,25.0,52
60101,DEM,25555.0,25.0,147
60101,REP,12171.0,75.0,32
60102,DEM,26341.0,10.0,582
60102,REP,17640.0,100.0,36
60103,DEM,76237.0,30.0,292
60103,REP,13375.0,50.0,67
60104,DEM,1329.0,100.0,15
60106,DEM,8647.0,27.0,104
60106,REP,6816.0,250.0,13
60107,DEM,35742.0,25.0,280
60107,REP,8880.0,150.0,9
60108,DEM,61399.0,50.0,280
60108,REP,20615.0,100.0,52
60109,REP,1000.0,1000.0,1
60110,DEM,9389.0,19.0,162
60110,REP,1594.0,35.0,33
60111,DEM,308.0,154.0,2
60112,DEM,814.0,22.5,34
60112,REP,200.0,50.0,4
60113,REP,50.0,50.0,1
60115,DEM,48147.0,25.0,896
60115,REP,16193.0,100.0,73
60118,DEM,10543.0,50.0,128
60118,REP,8693.0,50.0,69
60119,DEM,10133.0,27.0,115
60119,REP,6979.0,50.0,32
60120,DEM,33218.0,33.0,505
60120,IND,250.0,250.0,1
60120,REP,37380.0,100.0,57
60121,DEM,300.0,100.0,3
60121,REP,8600.0,250.0,15
60123,DEM,32619.0,25.0,387
60123,REP,23259.0,50.0,90
60124,DEM,27716.0,38.0,303
60124,REP,7535.0,100.0,49
60126,DEM,104057.0,25.0,1116
60126,IND,50.0,25.0,2
60126,REP,310732.0,100.0,350
60126,UNK,2000.0,1000.0,2
60130,DEM,37526.0,25.0,735
60130,REP,1595.0,25.0,10
60131,DEM,7645.0,25.0,118
60131,REP,1500.0,200.0,9
60133,DEM,5181.0,20.0,139
60133,REP,1070.0,5.0,60
60134,DEM,69033.0,36.0,896
60134,REP,113589.0,100.0,237
60134,UNK,500.0,500.0,1
60135,DEM,6787.0,37.0,85
60135,REP,100.0,100.0,1
60136,DEM,1541.0,35.0,42
60137,DEM,136342.0,40.0,892
60137,IND,500.0,500.0,1
60137,REP,168149.0,150.0,317
60137,UNK,500.0,500.0,1
60139,DEM,12123.0,25.0,112
60139,REP,540.0,32.5,12
60140,DEM,2732.0,19.0,82
60140,REP,8000.0,100.0,16
60141,DEM,650.0,250.0,3
60142,DEM,20231.0,38.0,269
60142,REP,14068.0,25.0,163
60143,DEM,13137.0,25.0,103
60143,REP,23048.0,100.0,77
60145,DEM,655.0,25.0,16
60145,REP,1200.0,1200.0,1
60146,REP,3900.0,500.0,12
60147,DEM,411.0,25.0,16
60147,REP,925.0,100.0,6
60148,DEM,44831.0,25.0,622
