zipcode_5,pop_total,unemployment_rate,median_household_income,healthcare_rate,hs_graduation_rate,assoc_degree_rate,bachelor_degree_rate,grad_degree_rate,donations_sum,donations_median,donations_count,donations_sum_quartile,donations_median_quartile
62557,7086,0.05256797583081571,40777.0,0.9182895850973751,0.5154436356482393,0.06629942947078497,0.07869368483179225,0.03442848711390911,14540.0,50.0,78,2,2
62558,3561,0.04722366372599896,66047.0,0.9668632406627352,0.36415478615071284,0.10061099796334012,0.19185336048879836,0.06272912423625254,4763.0,50.0,60,3,2
62560,1251,0.10338983050847457,49938.0,0.9440447641886491,0.4614499424626007,0.08170310701956271,0.07710011507479862,0.06789413118527042,7372.0,30.0,55,2,3
62561,5184,0.08794897616649883,60280.0,0.951195987654321,0.38156028368794326,0.06524822695035461,0.13617021276595745,0.05390070921985816,5354.0,20.0,142,2,4
62563,5707,0.03852652923284894,91412.0,0.9705624671456107,0.21861074705111402,0.06841415465268676,0.27208387942332896,0.18505897771952817,14114.0,25.0,195,2,4
62565,7603,0.06840305182846619,42610.0,0.8962251742733132,0.4793785833179212,0.0835953393748844,0.10319955613094137,0.05677825041612724,10676.0,30.0,140,2,3
62567,1027,0.06237424547283702,51023.0,0.9513145082765336,0.45294117647058824,0.09117647058823529,0.11176470588235295,0.051470588235294115,5414.0,50.0,50,2,2
62568,15985,0.055278414453283,46530.0,0.845417578980294,0.3986138111740343,0.0798749049108275,0.11368438847096611,0.05079874904910828,82755.0,60.0,501,1,2
62570,460,0.05714285714285714,39405.0,0.8891304347826087,0.48348348348348347,0.05405405405405406,0.04804804804804805,0.02702702702702703,50.0,50.0,1,4,2
62571,1306,0.03398058252427184,46250.0,0.9762633996937213,0.591684434968017,0.09275053304904052,0.035181236673773986,0.021321961620469083,6808.0,15.0,365,2,4
62572,540,0.12244897959183673,52857.0,0.8925925925925926,0.3465346534653465,0.1806930693069307,0.13861386138613863,0.0297029702970297,1875.0,200.0,7,3,1
62573,1675,0.02569832402234637,64861.0,0.9146268656716418,0.31068840579710144,0.1213768115942029,0.2056159420289855,0.04528985507246377,1340.0,25.0,38,3,4
62601,382,0.0,91250.0,0.8821989528795812,0.43564356435643564,0.066006600660066,0.18811881188118812,0.08250825082508251,1500.0,375.0,4,3,1
62611,971,0.015384615384615385,55938.0,0.9474768280123584,0.40867279894875164,0.08015768725361366,0.18265440210249673,0.02759526938239159,2255.0,100.0,19,3,1
62612,1864,0.05070422535211268,63393.0,0.9216738197424893,0.48755490483162517,0.08857979502196194,0.10980966325036604,0.0636896046852123,592.0,38.0,9,4,3
62613,3745,0.068762278978389,63938.0,0.9773030707610146,0.3573487031700288,0.13874022231370933,0.19431864965006176,0.07698641416220667,2787.0,50.0,51,3,2
62615,5659,0.04599129894344313,62708.0,0.9355009719031631,0.3712347354138399,0.08195386702849389,0.1508819538670285,0.05128900949796472,13502.0,100.0,46,2,1
62617,708,0.12171052631578948,50039.0,0.9166666666666666,0.5237154150197628,0.07509881422924901,0.1007905138339921,0.019762845849802372,34.0,5.0,6,4,4
62618,7822,0.11232876712328767,43465.0,0.8699821017642546,0.45174825174825173,0.038161838161838164,0.08691308691308691,0.03856143856143856,7503.0,40.0,74,2,3
62624,475,0.07692307692307693,45855.0,0.9578947368421052,0.5324675324675324,0.13506493506493505,0.033766233766233764,0.015584415584415584,105.0,30.0,3,4,3
62625,752,0.03640776699029126,89018.0,1.0,0.27330173775671407,0.05845181674565561,0.2480252764612954,0.11690363349131122,11206.0,300.0,21,2,1
62626,7925,0.09718026183282981,51736.0,0.9232807570977918,0.33127174333204484,0.06551990722844994,0.15229996134518747,0.10668728256667954,13364.0,39.5,190,2,3
62627,977,0.07004830917874397,46550.0,0.8955987717502559,0.4924924924924925,0.05405405405405406,0.08108108108108109,0.03153153153153153,2888.0,50.0,36,3,2
62628,823,0.057203389830508475,58333.0,0.9331713244228432,0.44047619047619047,0.05952380952380952,0.11564625850340136,0.04591836734693878,3208.0,25.0,85,3,4
62629,13598,0.04445356312405964,80796.0,0.9739667598176203,0.19111361079865016,0.09606299212598425,0.3205849268841395,0.15680539932508436,35039.0,35.0,547,1,3
62630,441,0.04263565891472868,77500.0,0.9591836734693877,0.5067567567567568,0.09797297297297297,0.05405405405405406,0.0033783783783783786,2895.0,100.0,15,3,1
62631,266,0.017094017094017096,46071.0,0.9849624060150376,0.3776595744680851,0.1702127659574468,0.10106382978723404,0.005319148936170213,1380.0,165.0,4,3,1
62633,685,0.13279132791327913,46761.0,0.8875912408759125,0.4895238095238095,0.06857142857142857,0.0838095238095238,0.02666666666666667,651.0,100.0,5,4,1
62634,697,0.07236842105263158,56964.0,0.9670014347202296,0.29148936170212764,0.09148936170212765,0.1851063829787234,0.10851063829787234,1291.0,50.0,12,3,2
62635,598,0.10619469026548672,59583.0,0.9431438127090301,0.38461538461538464,0.10173697270471464,0.22580645161290322,0.03970223325062035,2500.0,250.0,6,3,1
62639,257,0.022988505747126436,46875.0,0.9844357976653697,0.19704433497536947,0.18226600985221675,0.1625615763546798,0.09359605911330049,600.0,300.0,2,4,1
62640,3784,0.06659505907626208,54009.0,0.9437103594080338,0.46168294515401953,0.043200601051840724,0.1258452291510143,0.04921111945905334,4321.0,50.0,58,3,2
62642,1524,0.031880977683315624,62083.0,0.9350393700787402,0.4456824512534819,0.10306406685236769,0.1244196843082637,0.05013927576601671,172.0,17.5,8,4,4
62644,5058,0.12325390304026294,38192.0,0.894622380387505,0.37208664655881546,0.11351795996709624,0.10063065533315053,0.048258842884562655,1947.0,50.0,40,3,2
62649,474,0.10330578512396695,59167.0,0.9662447257383966,0.5121951219512195,0.09059233449477352,0.07665505226480836,0.03484320557491289,966.0,25.0,38,4,4
62650,26948,0.07477916539750229,46130.0,0.863218049576963,0.40693679445929,0.06162403882859792,0.13797240551889622,0.0831106505971533,156302.0,50.0,429,1,2
62656,21505,0.08619447779111644,49821.0,0.721413624738433,0.3215321729957806,0.08194883966244726,0.11959388185654009,0.052412974683544306,24848.0,50.0,296,2,2
62661,1382,0.1839080459770115,61650.0,0.9522431259044862,0.3068181818181818,0.15495867768595042,0.15289256198347106,0.045454545454545456,1431.0,62.0,18,3,2
62664,2756,0.09152798789712557,37331.0,0.9274310595065312,0.47003467062902426,0.06587419514611194,0.08221892025755324,0.0470529965329371,7536.0,51.0,69,2,2
62665,1491,0.10310965630114566,43750.0,0.9483568075117371,0.4775390625,0.0703125,0.0673828125,0.0107421875,230.0,35.0,6,4,3
62666,595,0.06506849315068493,65750.0,0.9058823529411765,0.3939393939393939,0.07226107226107226,0.10722610722610723,0.06993006993006994,500.0,200.0,3,4,1
62667,332,0.0457516339869281,36875.0,0.927710843373494,0.4150197628458498,0.08300395256916997,0.1422924901185771,0.039525691699604744,675.0,50.0,13,4,2
62668,1318,0.05192878338278932,53162.0,0.9461305007587253,0.5297679112008072,0.06659939455095863,0.06962663975782038,0.04339051463168517,1914.0,37.5,10,3,3
62670,3236,0.0390625,68333.0,0.9697156983930779,0.33185185185185184,0.08790123456790123,0.18962962962962962,0.09777777777777778,5322.0,5.0,147,2,4
62671,434,0.05084745762711865,57500.0,0.8940092165898618,0.4670846394984326,0.06583072100313479,0.1755485893416928,0.0438871473354232,2346.0,50.0,9,3,2
62672,246,0.11666666666666667,44107.0,0.8495934959349594,0.48223350253807107,0.08121827411167512,0.1116751269035533,0.025380710659898477,32.0,16.0,2,4,4
62674,1378,0.10055096418732783,52083.0,0.9259796806966618,0.3546234509056244,0.10772163965681601,0.09532888465204957,0.055290753098188754,1081.0,100.0,7,3,1
62675,6142,0.040655961735565425,57727.0,0.9303158580267014,0.3078125,0.08995535714285714,0.20044642857142858,0.06517857142857143,12512.0,27.0,238,2,4
62677,2295,0.03048264182895851,56680.0,0.938562091503268,0.34146341463414637,0.08652729384436701,0.20557491289198607,0.06039488966318235,6528.0,75.0,53,2,2
62681,5656,0.06572379367720466,49537.0,0.7873055162659123,0.3468208092485549,0.10452793834296724,0.13367052023121387,0.06815992292870905,4395.0,25.0,87,3,4
62682,956,0.06339468302658487,65076.0,0.9341004184100419,0.5259026687598116,0.058084772370486655,0.0989010989010989,0.058084772370486655,2185.0,52.5,18,3,2
62684,5581,0.047437673130193904,99620.0,0.9562802365167533,0.20105540897097626,0.10976253298153034,0.30554089709762533,0.1366754617414248,12195.0,27.0,167,2,4
62685,2079,0.04734848484848485,60819.0,0.9466089466089466,0.37610062893081764,0.09685534591194969,0.15031446540880503,0.08993710691823899,1175.0,15.0,82,3,4
62688,635,0.16516516516516516,60481.0,0.9244094488188976,0.3646055437100213,0.09168443496801706,0.07889125799573561,0.021321961620469083,1242.0,50.0,25,3,2
62689,528,0.03367003367003367,51042.0,0.8674242424242424,0.4,0.0759493670886076,0.11645569620253164,0.017721518987341773,430.0,10.0,10,4,4
62690,4106,0.13316708229426433,50750.0,0.8923526546517292,0.3375588554871423,0.09634190510684534,0.1256791017747193,0.0434625135820355,2494.0,27.0,61,3,4
62691,2050,0.05841584158415842,52279.0,0.8965853658536586,0.487146529562982,0.08933161953727506,0.10089974293059126,0.031491002570694086,3583.0,10.0,88,3,4
62692,1997,0.07223942208462332,48661.0,0.9479218828242364,0.44542772861356933,0.07374631268436578,0.0855457227138643,0.08112094395280237,778.0,100.0,5,4,1
62693,1563,0.04782146652497343,92898.0,0.9776071657069738,0.21167161226508407,0.09297725024727992,0.21068249258160238,0.1661721068249258,1630.0,30.0,18,3,3
62694,2936,0.08770718232044199,50114.0,0.9274523160762943,0.4983621899859616,0.07019185774450164,0.08235844642021525,0.04773046326626111,6489.0,38.0,76,2,3
62701,1108,0.04556962025316456,19524.0,0.6705776173285198,0.26940133037694014,0.06208425720620843,0.17849223946784923,0.14523281596452328,100438.0,25.0,324,1,4
62702,34447,0.10474835497065624,35772.0,0.8973785815891079,0.33508134445453797,0.06722272689734908,0.13741844908745562,0.06131802791312247,114177.0,40.0,825,1,3
62703,31492,0.13600366516133255,37881.0,0.8850819255683984,0.36552434939448597,0.07472300953362536,0.13125483122906467,0.06534398350940479,72639.0,25.0,591,1,4
62704,40549,0.07379216043755697,52890.0,0.9353621544304421,0.21403852204006013,0.060929143216695215,0.26559932883559967,0.18869507463208304,538131.0,50.0,2777,1,2
62707,7622,0.07351874244256348,65268.0,0.9438467593807399,0.3067679802085174,0.09913412263650821,0.16009895741297048,0.08181657536667256,30363.0,25.5,330,2,4
62711,16839,0.03409616273693944,100173.0,0.9638933428350852,0.1710590531966813,0.07662274280136652,0.32397917683422806,0.24011713030746706,211329.0,85.0,1090,1,1
