zipcode_5,pop_total,unemployment_rate,median_household_income,healthcare_rate,hs_graduation_rate,assoc_degree_rate,bachelor_degree_rate,grad_degree_rate
60633,12817,0.11384566529056843,50754.0,0.866193336974331,0.36299608719955284,0.06741196198993851,0.10083845723868083,0.05489100055897149
60634,73382,0.06769339171573809,58184.0,0.8387479218336922,0.3209725380444289,0.08331875692379453,0.15946592035449828,0.07334849279925369
60636,35779,0.3235023646873358,27475.0,0.8094412923782107,0.4113809194607674,0.0470532319391635,0.06273764258555133,0.025751814725198757
60637,49158,0.18313407766031026,27091.0,0.8891940274217828,0.20847158489234027,0.06297211436639605,0.14489939992940346,0.18249205788916342
60638,57746,0.10064546180463135,64408.0,0.8947979080802133,0.341037074786597,0.07944961141546694,0.1357115556121799,0.06403363485794368
60639,90211,0.11277047656975972,39913.0,0.7616698628770328,0.29396915479722135,0.052035156897790716,0.07385159661697777,0.03158224466105287
60640,67088,0.07893167998092286,47390.0,0.8448008585738135,0.15650068389338656,0.051162618757162395,0.327048907618942,0.20858748290266532
60641,70642,0.07734317343173432,53158.0,0.8016619008521843,0.258488364953644,0.06272896584187798,0.17885430097623872,0.10012075070096806
60642,19508,0.053793962891165885,82404.0,0.8862517941357392,0.09556009186016841,0.025835672365399336,0.42836182699668285,0.21931615207961214
60643,50507,0.12854380117680944,59686.0,0.9185459441265568,0.21351604924231654,0.08188098825803884,0.1781764421573366,0.17621471014698775
60644,49645,0.18788608522667782,26892.0,0.8060831906536409,0.36941153041919744,0.07507716817683958,0.07291977828670052,0.03498290683394736
60645,47131,0.10973474568852315,49132.0,0.8240860580085294,0.20786589297227595,0.04548678272082527,0.2599290780141844,0.15667311411992263
60646,27454,0.06262743955723857,79079.0,0.9195381365192686,0.18389641917863644,0.0501213837750354,0.31716568885292334,0.20220513857980985
60647,88866,0.059748016798880074,61028.0,0.8271442396417077,0.2043716024868982,0.05027505615051593,0.2989811529572605,0.16456170046547963
60649,45218,0.19678064577578816,26246.0,0.8418771285771153,0.2342981616555002,0.08482128123040364,0.1459784151292122,0.10244562526816066
60651,61759,0.17336374167390675,34397.0,0.8056153758966305,0.3663550911095941,0.058079084177913146,0.0863571916189676,0.036233786693273116
60652,43228,0.12771211853942493,64574.0,0.8814425835106875,0.30008595238985014,0.084233342053141,0.13345042789341904,0.07216263686983819
60653,31045,0.21541084214115241,26176.0,0.8919954904171364,0.2216224397134497,0.06174957118353345,0.15497931591161335,0.13429522752497225
60654,17328,0.05831595599338463,93848.0,0.9532548476454293,0.03490413178503916,0.03166351606805293,0.4718471509586821,0.3655819605725088
60655,28741,0.04990415757816115,91102.0,0.9678855989701124,0.2193292843939794,0.08492210192764721,0.25270662793768156,0.1559545814628994
60656,27926,0.06524988626762852,58177.0,0.8965480197665259,0.25282519268050496,0.08993333018109603,0.237836304316989,0.12520686557284033
60657,70105,0.030732130799652743,84319.0,0.9476214250053491,0.04757216628896237,0.03365902589441617,0.47128208938588995,0.34037968570048666
60659,38995,0.0803017282536045,51527.0,0.8247980510321836,0.22883602966606464,0.06916958075548553,0.23775122007454944,0.13257502978134728
